prep_canonical_smiles,chembl_cmpd_id,assay_id,rdkitNonIsoCanonSmi,canonical_smiles,doc_id,pubmed_id,journal,year,volume,first_page,standard_value,standard_units,standard_type,activity_comment,tid,pref_name,Protein class,Cliff value,Chiral cliff,unambiguous cliff,Protein class (prep)
CC(C)c1ccc(NC(=O)c2cccc(c2)c3nn([C@@H]4CCCN(C4)C(=O)C=C)c5ncnc(N)c35)cc1,"('CHEMBL2179804', 'CHEMBL2179816')","(878239, 878241)",C=CC(=O)N1CCCC(n2nc(-c3cccc(C(=O)Nc4ccc(C(C)C)cc4)c3)c3c(N)ncnc32)C1,"('CC(C)c1ccc(NC(=O)c2cccc(c2)c3nn([C@@H]4CCCN(C4)C(=O)C=C)c5ncnc(N)c35)cc1', 'CC(C)c1ccc(NC(=O)c2cccc(c2)c3nn([C@H]4CCCN(C4)C(=O)C=C)c5ncnc(N)c35)cc1')",66673,23098091.0,J. Med. Chem.,2012.0,55,10047,"((Decimal('40'), Decimal('780')), (Decimal('10'), Decimal('400')))",nM,IC50,,10918,Tyrosine-protein kinase ITK/TSK,kinase,"(1.2900346113625181, 1.6020599913279623)",cliff,1,kinase
CC(C)c1ccc(OC(C)(C)C(=O)N[C@@H](Cc2ccccc2)C(=O)NCCCN3CCOCC3)cc1,"('CHEMBL179891', 'CHEMBL179886')",303375,CC(C)c1ccc(OC(C)(C)C(=O)NC(Cc2ccccc2)C(=O)NCCCN2CCOCC2)cc1,"('CC(C)c1ccc(OC(C)(C)C(=O)N[C@@H](Cc2ccccc2)C(=O)NCCCN3CCOCC3)cc1', 'CC(C)c1ccc(OC(C)(C)C(=O)N[C@H](Cc2ccccc2)C(=O)NCCCN3CCOCC3)cc1')",20719,15664817.0,Bioorg. Med. Chem. Lett.,2005.0,15,585,1000,nM,Ki,,10184,Neurokinin 2 receptor,membrane receptor 7tm,0.0,no cliff,1,membrane receptor 7tm
CC(C)c1cccc(C(C)C)c1NC(=O)NC(C)(Cc2c[nH]c3ccccc23)C(=O)N[C@@H]4COC(C)(C)OC4c5ccccc5,"('CHEMBL406037', 'CHEMBL89075')",71531,CC(C)c1cccc(C(C)C)c1NC(=O)NC(C)(Cc1c[nH]c2ccccc12)C(=O)NC1COC(C)(C)OC1c1ccccc1,"('CC(C)c1cccc(C(C)C)c1NC(=O)NC(C)(Cc2c[nH]c3ccccc23)C(=O)N[C@@H]4COC(C)(C)OC4c5ccccc5', 'CC(C)c1cccc(C(C)C)c1NC(=O)NC(C)(Cc2c[nH]c3ccccc23)C(=O)N[C@H]4COC(C)(C)OC4c5ccccc5')",1871,"(nan, nan)",Bioorg. Med. Chem. Lett.,1996.0,6,2617,10000,nM,Ki,,11168,Gastrin releasing peptide receptor,membrane receptor 7tm,0.0,no cliff,1,membrane receptor 7tm
CC(C)c1cccc(OC(C)(C)C(=O)N[C@@H](Cc2ccccc2)C(=O)NCCCN3CCOCC3)c1,"('CHEMBL183210', 'CHEMBL361186')",303375,CC(C)c1cccc(OC(C)(C)C(=O)NC(Cc2ccccc2)C(=O)NCCCN2CCOCC2)c1,"('CC(C)c1cccc(OC(C)(C)C(=O)N[C@@H](Cc2ccccc2)C(=O)NCCCN3CCOCC3)c1', 'CC(C)c1cccc(OC(C)(C)C(=O)N[C@H](Cc2ccccc2)C(=O)NCCCN3CCOCC3)c1')",20719,15664817.0,Bioorg. Med. Chem. Lett.,2005.0,15,585,1000,nM,Ki,,10184,Neurokinin 2 receptor,membrane receptor 7tm,0.0,no cliff,1,membrane receptor 7tm
CC(C)c1cccc(c1)[C@@H](C)NC(=O)c2ccc3c(c2)c(C)c(C)n3Cc4ccc(cc4)c5ccccc5,"('CHEMBL3695889', 'CHEMBL3695860')",1528146,Cc1c(C)n(Cc2ccc(-c3ccccc3)cc2)c2ccc(C(=O)NC(C)c3cccc(C(C)C)c3)cc12,"('CC(C)c1cccc(c1)[C@@H](C)NC(=O)c2ccc3c(c2)c(C)c(C)n3Cc4ccc(cc4)c5ccccc5', 'CC(C)c1cccc(c1)[C@H](C)NC(=O)c2ccc3c(c2)c(C)c(C)n3Cc4ccc(cc4)c5ccccc5')",94708,"(nan, nan)",,2015.0,,,"(Decimal('1'), Decimal('30'))",nM,IC50,,133,Peroxisome proliferator-activated receptor gamma,transcription factor,1.47712125472,cliff,1,transcription factor
CC(C)c1cccc(c1)c2cc(NC(=O)[C@@H]3CNC(=O)C3)nn2c4ccccc4,"('CHEMBL3686409', 'CHEMBL3686408')",1528086,CC(C)c1cccc(-c2cc(NC(=O)C3CNC(=O)C3)nn2-c2ccccc2)c1,"('CC(C)c1cccc(c1)c2cc(NC(=O)[C@@H]3CNC(=O)C3)nn2c4ccccc4', 'CC(C)c1cccc(c1)c2cc(NC(=O)[C@H]3CNC(=O)C3)nn2c4ccccc4')",94550,"(nan, nan)",,2014.0,,,"(Decimal('18'), Decimal('10'))",nM,IC50,,18036,Sodium/glucose cotransporter 1,transporter,0.255272505103,no cliff,1,transporter
CC(C)c1ccccc1OCCN2CC[C@@H](C2)NS(=O)(=O)c3ccc(Cl)s3,"('CHEMBL2159490', 'CHEMBL2159487')","(855539, 855541)",CC(C)c1ccccc1OCCN1CCC(NS(=O)(=O)c2ccc(Cl)s2)C1,"('CC(C)c1ccccc1OCCN2CC[C@@H](C2)NS(=O)(=O)c3ccc(Cl)s3', 'CC(C)c1ccccc1OCCN2CC[C@H](C2)NS(=O)(=O)c3ccc(Cl)s3')",65589,22926225.0,Eur. J. Med. Chem.,2012.0,56,348,"((Decimal('89'), Decimal('49')), (Decimal('25'), Decimal('20')))",nM,Ki,,"(51, 72)","('Serotonin 1a (5-HT1a) receptor', 'Dopamine D2 receptor')",membrane receptor 7tm,"(0.25919392661639912, 0.09691001300805642)",no cliff,1,membrane receptor 7tm
CC(C)c1nc2CN([C@@H](C)Cc2c(n1)c3ccn[nH]3)C(=O)c4cccc(c4Cl)C(F)(F)F,"('CHEMBL3674120', 'CHEMBL3674119')","(1528133, 1535769)",CC(C)c1nc2c(c(-c3ccn[nH]3)n1)CC(C)N(C(=O)c1cccc(C(F)(F)F)c1Cl)C2,"('CC(C)c1nc2CN([C@@H](C)Cc2c(n1)c3ccn[nH]3)C(=O)c4cccc(c4Cl)C(F)(F)F', 'CC(C)c1nc2CN([C@H](C)Cc2c(n1)c3ccn[nH]3)C(=O)c4cccc(c4Cl)C(F)(F)F')",94997,"((nan, nan), (nan, nan))",,2015.0,,,"((Decimal('1032.8'), Decimal('27.3')), (Decimal('414'), Decimal('13')))",nM,IC50,"(('318550', '318549'), ('318662', '318661'))","(10417, 10540)",P2X purinoceptor 7,ion channel lgic,"(1.5778535822176079, 1.5030569888140621)",cliff,1,ion channel lgic
CC(C)c1onc(c2ccc(F)cc2)c1c3ccnc(N[C@@H](C)c4ccccc4)c3,"('CHEMBL571357', 'CHEMBL571356')",599883,CC(C)c1onc(-c2ccc(F)cc2)c1-c1ccnc(NC(C)c2ccccc2)c1,"('CC(C)c1onc(c2ccc(F)cc2)c1c3ccnc(N[C@@H](C)c4ccccc4)c3', 'CC(C)c1onc(c2ccc(F)cc2)c1c3ccnc(N[C@H](C)c4ccccc4)c3')",48784,19591487.0,J. Med. Chem.,2009.0,52,7618,"(Decimal('6'), Decimal('450'))",nM,IC50,,10188,MAP kinase p38 alpha,kinase,1.87506126339,cliff,1,kinase
CC(C)n1c(C)nc2cnc3ccc(cc3c12)C#CCNC(=O)C4=CC(=NN([C@@H](C)c5ccc(F)c(F)c5)C4=O)C,"('CHEMBL3644705', 'CHEMBL3644695')",1528496,Cc1cc(C(=O)NCC#Cc2ccc3ncc4nc(C)n(C(C)C)c4c3c2)c(=O)n(C(C)c2ccc(F)c(F)c2)n1,"('CC(C)n1c(C)nc2cnc3ccc(cc3c12)C#CCNC(=O)C4=CC(=NN([C@@H](C)c5ccc(F)c(F)c5)C4=O)C', 'CC(C)n1c(C)nc2cnc3ccc(cc3c12)C#CCNC(=O)C4=CC(=NN([C@H](C)c5ccc(F)c(F)c5)C4=O)C')",94612,"(nan, nan)",,2014.0,,,"(Decimal('70'), Decimal('2'))",nM,IC50,,10612,3-phosphoinositide dependent protein kinase-1,kinase,1.54406804435,cliff,1,kinase
CC(C)n1c(C)nc2cnc3ccc(cc3c12)C#CCNC(=O)C4=CC=CN([C@@H](C)C5CCCCC5)C4=O,"('CHEMBL3644707', 'CHEMBL3644702')",1528496,Cc1nc2cnc3ccc(C#CCNC(=O)c4cccn(C(C)C5CCCCC5)c4=O)cc3c2n1C(C)C,"('CC(C)n1c(C)nc2cnc3ccc(cc3c12)C#CCNC(=O)C4=CC=CN([C@@H](C)C5CCCCC5)C4=O', 'CC(C)n1c(C)nc2cnc3ccc(cc3c12)C#CCNC(=O)C4=CC=CN([C@H](C)C5CCCCC5)C4=O')",94612,"(nan, nan)",,2014.0,,,"(Decimal('34'), Decimal('507'))",nM,IC50,,10612,3-phosphoinositide dependent protein kinase-1,kinase,1.17352904229,cliff,1,kinase
CC(C)n1c(C)nc2cnc3ccc(cc3c12)C#CCNC(=O)C4=CC=CN([C@@H](C)c5ccc(F)c(F)c5)C4=O,"('CHEMBL3644710', 'CHEMBL3644701')",1528496,Cc1nc2cnc3ccc(C#CCNC(=O)c4cccn(C(C)c5ccc(F)c(F)c5)c4=O)cc3c2n1C(C)C,"('CC(C)n1c(C)nc2cnc3ccc(cc3c12)C#CCNC(=O)C4=CC=CN([C@@H](C)c5ccc(F)c(F)c5)C4=O', 'CC(C)n1c(C)nc2cnc3ccc(cc3c12)C#CCNC(=O)C4=CC=CN([C@H](C)c5ccc(F)c(F)c5)C4=O')",94612,"(nan, nan)",,2014.0,,,"(Decimal('1'), Decimal('55'))",nM,IC50,,10612,3-phosphoinositide dependent protein kinase-1,kinase,1.74036268949,cliff,1,kinase
CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)C(=O)N4CC[C@@H](C4)N(C)C)ncc2F,"('CHEMBL460102', 'CHEMBL460103')",559443,Cc1ncc(-c2nc(Nc3ccc(C(=O)N4CCC(N(C)C)C4)cc3)ncc2F)n1C(C)C,"('CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)C(=O)N4CC[C@@H](C4)N(C)C)ncc2F', 'CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)C(=O)N4CC[C@H](C4)N(C)C)ncc2F')",44940,18996007.0,Bioorg. Med. Chem. Lett.,2008.0,18,6369,11,nM,IC50,,12071,Cyclin-dependent kinase 1,kinase,0.0,no cliff,1,kinase
CC(C)n1cnc2c(NC(CO)c3ccccc3)nc(nc12)N4CCC[C@@H]4CO,"('CHEMBL2111869', 'CHEMBL2112679')",50320,CC(C)n1cnc2c(NC(CO)c3ccccc3)nc(N3CCCC3CO)nc21,"('CC(C)n1cnc2c(NC(CO)c3ccccc3)nc(nc12)N4CCC[C@@H]4CO', 'CC(C)n1cnc2c(NC(CO)c3ccccc3)nc(nc12)N4CCC[C@H]4CO')",15685,11063606.0,J. Med. Chem.,2000.0,43,4098,"(Decimal('10000'), Decimal('800'))",nM,IC50,,12071,Cyclin-dependent kinase 1,kinase,1.09691001301,cliff,1,kinase
CC(C)n1cnc2c(NCc3ccccc3)nc(N[C@@H](CO)Cc4ccccc4)nc12,"('CHEMBL2112682', 'CHEMBL2111870')",51304,CC(C)n1cnc2c(NCc3ccccc3)nc(NC(CO)Cc3ccccc3)nc21,"('CC(C)n1cnc2c(NCc3ccccc3)nc(N[C@@H](CO)Cc4ccccc4)nc12', 'CC(C)n1cnc2c(NCc3ccccc3)nc(N[C@H](CO)Cc4ccccc4)nc12')",15685,11063606.0,J. Med. Chem.,2000.0,43,4098,"(Decimal('1300'), Decimal('2000'))",nM,IC50,,12947,Cyclin-dependent kinase 5,kinase,0.187086643357,no cliff,1,kinase
CC(C)n1cnc2c(NCc3ccccc3)nc(N[C@@H](CO)c4ccccc4)nc12,"('CHEMBL2112681', 'CHEMBL2111871')",51304,CC(C)n1cnc2c(NCc3ccccc3)nc(NC(CO)c3ccccc3)nc21,"('CC(C)n1cnc2c(NCc3ccccc3)nc(N[C@@H](CO)c4ccccc4)nc12', 'CC(C)n1cnc2c(NCc3ccccc3)nc(N[C@H](CO)c4ccccc4)nc12')",15685,11063606.0,J. Med. Chem.,2000.0,43,4098,"(Decimal('6000'), Decimal('3500'))",nM,IC50,,12947,Cyclin-dependent kinase 5,kinase,0.234083206033,no cliff,1,kinase
CC(C)n1cnc2c(NCc3ccccc3)nc(nc12)N4CCC[C@@H]4CO,"('CHEMBL2111872', 'CHEMBL2112683')",51304,CC(C)n1cnc2c(NCc3ccccc3)nc(N3CCCC3CO)nc21,"('CC(C)n1cnc2c(NCc3ccccc3)nc(nc12)N4CCC[C@@H]4CO', 'CC(C)n1cnc2c(NCc3ccccc3)nc(nc12)N4CCC[C@H]4CO')",15685,11063606.0,J. Med. Chem.,2000.0,43,4098,"(Decimal('1300'), Decimal('2400'))",nM,IC50,,12947,Cyclin-dependent kinase 5,kinase,0.266267889405,no cliff,1,kinase
CC(C)n1cnc2c(cc(Cl)cc12)C(=O)N[C@@H]3CN4CCC3CC4,"('CHEMBL145033', 'CHEMBL145725')",3475,CC(C)n1cnc2c(C(=O)NC3CN4CCC3CC4)cc(Cl)cc21,"('CC(C)n1cnc2c(cc(Cl)cc12)C(=O)N[C@@H]3CN4CCC3CC4', 'CC(C)n1cnc2c(cc(Cl)cc12)C(=O)N[C@H]3CN4CCC3CC4')",1980,"(nan, nan)",Bioorg. Med. Chem. Lett.,1996.0,6,477,"(Decimal('602.56'), Decimal('0.1445'))",nM,Ki,,144,Serotonin 3a (5-HT3a) receptor,ion channel lgic,3.62013245124,cliff,1,ion channel lgic
CC(C)n1nc(C)c2[C@@H](N(C3=CN(C)C(=O)C(=C3)C)C(=O)c12)c4ccc(Cl)cc4,"('CHEMBL3650948', 'CHEMBL3650949')","(1528449, 1528450, 1536022, 1536085)",Cc1nn(C(C)C)c2c1C(c1ccc(Cl)cc1)N(c1cc(C)c(=O)n(C)c1)C2=O,"('CC(C)n1nc(C)c2[C@@H](N(C3=CN(C)C(=O)C(=C3)C)C(=O)c12)c4ccc(Cl)cc4', 'CC(C)n1nc(C)c2[C@H](N(C3=CN(C)C(=O)C(=C3)C)C(=O)c12)c4ccc(Cl)cc4')",94755,"((nan, nan), (nan, nan), (nan, nan), (nan, nan))",,2015.0,,,"((Decimal('11000'), Decimal('13')), (Decimal('37000'), Decimal('1200')), (Decimal('6100'), Decimal('15')), (Decimal('5300'), Decimal('14')))",nM,IC50,"(('288853', '288854'), None, ('289219', '289220'), ('289040', '289041'))","(103454, 101310, 104266, 103722)","('Bromodomain-containing protein 4', 'CREB-binding protein', 'Bromodomain-containing protein 3', 'Bromodomain-containing protein 2')",epigenetic regulator,"(2.9274493328513884, 1.4890204780193701, 2.6092385759550858, 2.578147833922551)",cliff,1,epigenetic regulator
CC(C)n1nc(C)nc1c2cn3CCOc4cc(C)c(cc4c3n2)[C@@H](C)N5CCN(CC5)C(C)(C)C,"('CHEMBL3704698', 'CHEMBL3704699')",1528932,Cc1nc(-c2cn3c(n2)-c2cc(C(C)N4CCN(C(C)(C)C)CC4)c(C)cc2OCC3)n(C(C)C)n1,"('CC(C)n1nc(C)nc1c2cn3CCOc4cc(C)c(cc4c3n2)[C@@H](C)N5CCN(CC5)C(C)(C)C', 'CC(C)n1nc(C)nc1c2cn3CCOc4cc(C)c(cc4c3n2)[C@H](C)N5CCN(CC5)C(C)(C)C')",94985,"(nan, nan)",,2015.0,,,"(Decimal('0.479'), Decimal('0.881'))",nM,IC50,,11177,PI3-kinase p110-delta subunit,other enzymes,0.264640394997,no cliff,1,other enzymes
CC(C)n1nc(C)nc1c2cn3CCOc4cc(ccc4c3n2)N5CCC[C@@H]5CN6CCCC6,"('CHEMBL3704711', 'CHEMBL3704710')",1528932,Cc1nc(-c2cn3c(n2)-c2ccc(N4CCCC4CN4CCCC4)cc2OCC3)n(C(C)C)n1,"('CC(C)n1nc(C)nc1c2cn3CCOc4cc(ccc4c3n2)N5CCC[C@@H]5CN6CCCC6', 'CC(C)n1nc(C)nc1c2cn3CCOc4cc(ccc4c3n2)N5CCC[C@H]5CN6CCCC6')",94985,"(nan, nan)",,2015.0,,,"(Decimal('0.416'), Decimal('0.313'))",nM,IC50,,11177,PI3-kinase p110-delta subunit,other enzymes,0.12354899308,no cliff,1,other enzymes
CC(C)n1nc(C)nc1c2cn3CCOc4cnc(cc4c3n2)[C@@H](C)N5CCN(CC5)C(C)(C)C,"('CHEMBL3704703', 'CHEMBL3704701')",1528932,Cc1nc(-c2cn3c(n2)-c2cc(C(C)N4CCN(C(C)(C)C)CC4)ncc2OCC3)n(C(C)C)n1,"('CC(C)n1nc(C)nc1c2cn3CCOc4cnc(cc4c3n2)[C@@H](C)N5CCN(CC5)C(C)(C)C', 'CC(C)n1nc(C)nc1c2cn3CCOc4cnc(cc4c3n2)[C@H](C)N5CCN(CC5)C(C)(C)C')",94985,"(nan, nan)",,2015.0,,,"(Decimal('2.81'), Decimal('1.92'))",nM,IC50,,11177,PI3-kinase p110-delta subunit,other enzymes,0.165405091202,no cliff,1,other enzymes
CC(C)n1nc(C)nc1c2cn3CCOc4cnc(cc4c3n2)[C@@H](C)N5CCN(CC5)C(C)(C)CO,"('CHEMBL3704737', 'CHEMBL3704736')",1528932,Cc1nc(-c2cn3c(n2)-c2cc(C(C)N4CCN(C(C)(C)CO)CC4)ncc2OCC3)n(C(C)C)n1,"('CC(C)n1nc(C)nc1c2cn3CCOc4cnc(cc4c3n2)[C@@H](C)N5CCN(CC5)C(C)(C)CO', 'CC(C)n1nc(C)nc1c2cn3CCOc4cnc(cc4c3n2)[C@H](C)N5CCN(CC5)C(C)(C)CO')",94985,"(nan, nan)",,2015.0,,,"(Decimal('2.63'), Decimal('2.1'))",nM,IC50,,11177,PI3-kinase p110-delta subunit,other enzymes,0.0977364537558,no cliff,1,other enzymes
CC(C)n1nc2CN([C@@H]3CN4CCC3CC4)C(=O)c5cccc1c25,"('CHEMBL1643889', 'CHEMBL1643888')",700634,CC(C)n1nc2c3c(cccc31)C(=O)N(C1CN3CCC1CC3)C2,"('CC(C)n1nc2CN([C@@H]3CN4CCC3CC4)C(=O)c5cccc1c25', 'CC(C)n1nc2CN([C@H]3CN4CCC3CC4)C(=O)c5cccc1c25')",54714,21146988.0,Bioorg. Med. Chem. Lett.,2011.0,21,58,"(Decimal('2.3'), Decimal('3.6'))",nM,Ki,,144,Serotonin 3a (5-HT3a) receptor,ion channel lgic,0.19457466475,no cliff,1,ion channel lgic
CC(C)n1ncc2cc(NC(=O)c3ccc4cc5C(=O)NC[C@@H](C)n5c4n3)cnc12,"('CHEMBL3673629', 'CHEMBL3673626')",1528777,CC(C)n1ncc2cc(NC(=O)c3ccc4cc5n(c4n3)C(C)CNC5=O)cnc21,"('CC(C)n1ncc2cc(NC(=O)c3ccc4cc5C(=O)NC[C@@H](C)n5c4n3)cnc12', 'CC(C)n1ncc2cc(NC(=O)c3ccc4cc5C(=O)NC[C@H](C)n5c4n3)cnc12')",94956,"(nan, nan)",,2015.0,,,"(Decimal('4'), Decimal('84'))",nM,IC50,,12724,Ribosomal protein S6 kinase alpha 3,kinase,1.32221929473,cliff,1,kinase
CC(C)n1ncnc1c2cn3CCOc4cc(O[C@@H](C)C(=O)N)ccc4c3n2,"('CHEMBL3771364', 'CHEMBL3770644')",1557990,CC(Oc1ccc2c(c1)OCCn1cc(-c3ncnn3C(C)C)nc1-2)C(N)=O,"('CC(C)n1ncnc1c2cn3CCOc4cc(O[C@@H](C)C(=O)N)ccc4c3n2', 'CC(C)n1ncnc1c2cn3CCOc4cc(O[C@H](C)C(=O)N)ccc4c3n2')",98479,26741947.0,J. Med. Chem.,2016.0,59,985,"(Decimal('0.2'), Decimal('3.6'))",nM,Ki,,11362,PI3-kinase p110-alpha subunit,other enzymes,1.2552725051,cliff,1,other enzymes
CC(C)n1ncnc1c2cn3CCOc4cc(ncc4c3n2)N5CCC[C@@H]5C(=O)N,"('CHEMBL3769603', 'CHEMBL3770709')",1557990,CC(C)n1ncnc1-c1cn2c(n1)-c1cnc(N3CCCC3C(N)=O)cc1OCC2,"('CC(C)n1ncnc1c2cn3CCOc4cc(ncc4c3n2)N5CCC[C@@H]5C(=O)N', 'CC(C)n1ncnc1c2cn3CCOc4cc(ncc4c3n2)N5CCC[C@H]5C(=O)N')",98479,26741947.0,J. Med. Chem.,2016.0,59,985,"(Decimal('3.2'), Decimal('0.1'))",nM,Ki,,11362,PI3-kinase p110-alpha subunit,other enzymes,1.50514997832,cliff,1,other enzymes
CC(Cc1ccc(cc1)C#Cc2cnc(N[C@@H]3CCc4ccccc34)nc2)NC(=O)C,"('CHEMBL3695020', 'CHEMBL3695019')",1528801,CC(=O)NC(C)Cc1ccc(C#Cc2cnc(NC3CCc4ccccc43)nc2)cc1,"('CC(Cc1ccc(cc1)C#Cc2cnc(N[C@@H]3CCc4ccccc34)nc2)NC(=O)C', 'CC(Cc1ccc(cc1)C#Cc2cnc(N[C@H]3CCc4ccccc34)nc2)NC(=O)C')",94527,"(nan, nan)",,2014.0,,,"(Decimal('200'), Decimal('330'))",nM,IC50,,10608,Acetyl-CoA carboxylase 2,other enzymes,0.217483944214,no cliff,1,other enzymes
CC(Cc1ccc(s1)C(=O)Oc2ccc(cc2)C(=N)N)C(=O)N[C@@H](CC(=O)O)C(=O)O,"('CHEMBL3642900', 'CHEMBL3642905')","(1527965, 1527966)",CC(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2)s1)C(=O)NC(CC(=O)O)C(=O)O,"('CC(Cc1ccc(s1)C(=O)Oc2ccc(cc2)C(=N)N)C(=O)N[C@@H](CC(=O)O)C(=O)O', 'CC(Cc1ccc(s1)C(=O)Oc2ccc(cc2)C(=N)N)C(=O)N[C@H](CC(=O)O)C(=O)O')",94236,"((nan, nan), (nan, nan))",,2013.0,,,"((Decimal('1.76'), Decimal('1.54')), (Decimal('1.36'), Decimal('1.47')))",nM,Ki,,"(42, 103991)","('Trypsin I', 'Enteropeptidase')",protease,"(0.057991946977686733, 0.033778426377958568)",no cliff,1,protease
CC(Cc1ccc(s1)C(=O)Oc2ccc(cc2F)C(=N)N)C(=O)N[C@@H](CC(=O)O)C(=O)O,"('CHEMBL3642902', 'CHEMBL3642904')",1527966,CC(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2F)s1)C(=O)NC(CC(=O)O)C(=O)O,"('CC(Cc1ccc(s1)C(=O)Oc2ccc(cc2F)C(=N)N)C(=O)N[C@@H](CC(=O)O)C(=O)O', 'CC(Cc1ccc(s1)C(=O)Oc2ccc(cc2F)C(=N)N)C(=O)N[C@H](CC(=O)O)C(=O)O')",94236,"(nan, nan)",,2013.0,,,"(Decimal('0.28'), Decimal('0.5'))",nM,Ki,,103991,Enteropeptidase,protease,0.251811972994,no cliff,1,protease
CC(Cc1oc(cc1)C(=O)Oc2ccc(cc2)C(=N)N)C(=O)N[C@@H](CC(=O)O)C(=O)O,"('CHEMBL3642870', 'CHEMBL3642879')","(1527965, 1527966)",CC(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2)o1)C(=O)NC(CC(=O)O)C(=O)O,"('CC(Cc1oc(cc1)C(=O)Oc2ccc(cc2)C(=N)N)C(=O)N[C@@H](CC(=O)O)C(=O)O', 'CC(Cc1oc(cc1)C(=O)Oc2ccc(cc2)C(=N)N)C(=O)N[C@H](CC(=O)O)C(=O)O')",94236,"((nan, nan), (nan, nan))",,2013.0,,,"((Decimal('1.07'), Decimal('0.75')), (Decimal('0.61'), Decimal('0.42')))",nM,Ki,,"(42, 103991)","('Trypsin I', 'Enteropeptidase')",protease,"(0.1543225142935096, 0.16208054461286656)",no cliff,1,protease
CC(Cc1oc(cc1)C(=O)Oc2ccc(cc2)C(=N)N)C(=O)N[C@@H](CCC(=O)O)C(=O)O,"('CHEMBL3642867', 'CHEMBL3642878')",1527965,CC(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2)o1)C(=O)NC(CCC(=O)O)C(=O)O,"('CC(Cc1oc(cc1)C(=O)Oc2ccc(cc2)C(=N)N)C(=O)N[C@@H](CCC(=O)O)C(=O)O', 'CC(Cc1oc(cc1)C(=O)Oc2ccc(cc2)C(=N)N)C(=O)N[C@H](CCC(=O)O)C(=O)O')",94236,"(nan, nan)",,2013.0,,,"(Decimal('1.16'), Decimal('0.95'))",nM,Ki,,42,Trypsin I,protease,0.0867343839381,no cliff,1,protease
CC(Cl)(Cl)[C@@H](N\C(=N\C#N)\Nc1ccc(Cl)nc1)NC(=O)c2ccc(Cl)cc2,"('CHEMBL2110262', 'CHEMBL274449')",451753,CC(Cl)(Cl)C(NC(=O)c1ccc(Cl)cc1)NC(=NC#N)Nc1ccc(Cl)nc1,"('CC(Cl)(Cl)[C@@H](N\\C(=N\\C#N)\\Nc1ccc(Cl)nc1)NC(=O)c2ccc(Cl)cc2', 'CC(Cl)(Cl)[C@H](N\\C(=N\\C#N)\\Nc1ccc(Cl)nc1)NC(=O)c2ccc(Cl)cc2')",37214,17973362.0,J. Med. Chem.,2007.0,50,6265,"(Decimal('2137.96'), Decimal('1071.52'))",nM,EC50,,285,"Potassium channel, inwardly rectifying, subfamily J, member 11",ion channel vgc,0.299999293957,no cliff,1,ion channel vgc
CC(N1C=CC=C(C(=O)NCC#Cc2ccc3nccc(OC[C@@H]4CCN(C)C4)c3c2)C1=O)c5cc(F)c(F)c(F)c5,"('CHEMBL3689295', 'CHEMBL3689305')",1527881,CC(c1cc(F)c(F)c(F)c1)n1cccc(C(=O)NCC#Cc2ccc3nccc(OCC4CCN(C)C4)c3c2)c1=O,"('CC(N1C=CC=C(C(=O)NCC#Cc2ccc3nccc(OC[C@@H]4CCN(C)C4)c3c2)C1=O)c5cc(F)c(F)c(F)c5', 'CC(N1C=CC=C(C(=O)NCC#Cc2ccc3nccc(OC[C@H]4CCN(C)C4)c3c2)C1=O)c5cc(F)c(F)c(F)c5')",94177,"(nan, nan)",,2013.0,,,"(Decimal('3'), Decimal('4'))",nM,IC50,,10612,3-phosphoinositide dependent protein kinase-1,kinase,0.124938736608,no cliff,1,kinase
CC(N=O)c1ccc2nnc([C@@H](C)c3c(F)cc4ncccc4c3F)n2n1,"('CHEMBL3651414', 'CHEMBL3651423')",1527782,CC(N=O)c1ccc2nnc(C(C)c3c(F)cc4ncccc4c3F)n2n1,"('CC(N=O)c1ccc2nnc([C@@H](C)c3c(F)cc4ncccc4c3F)n2n1', 'CC(N=O)c1ccc2nnc([C@H](C)c3c(F)cc4ncccc4c3F)n2n1')",94095,"(nan, nan)",,2013.0,,,"(Decimal('1.2'), Decimal('19'))",nM,IC50,,11451,Hepatocyte growth factor receptor,kinase,1.19957235491,cliff,1,kinase
CC(Nc1cc(F)cc(F)c1)c2cc(cc3C(=O)C=C(Oc23)N4CCOCC4)C(=O)N5CCC[C@@H]5CO,"('CHEMBL3656439', 'CHEMBL3656440')",1527619,CC(Nc1cc(F)cc(F)c1)c1cc(C(=O)N2CCCC2CO)cc2c(=O)cc(N3CCOCC3)oc12,"('CC(Nc1cc(F)cc(F)c1)c2cc(cc3C(=O)C=C(Oc23)N4CCOCC4)C(=O)N5CCC[C@@H]5CO', 'CC(Nc1cc(F)cc(F)c1)c2cc(cc3C(=O)C=C(Oc23)N4CCOCC4)C(=O)N5CCC[C@H]5CO')",94317,"(nan, nan)",,2014.0,,,"(Decimal('5'), Decimal('4'))",nM,IC50,,12576,PI3-kinase p110-beta subunit,other enzymes,0.0969100130081,no cliff,1,other enzymes
